id;service_outlet_code;asset_category_id;fixed_asset_serial_code;fixed_asset_description;purchase_date;purchase_cost;purchase_transaction_id;ownership_document_id;asset_picture;asset_picture_content_type
1;Steel Avon Visionary;58130;PCI SAS;Interactions;2019-10-15;59188;75337;35021;../fake-data/blob/hipster.png;image/png
2;bandwidth Buckinghamshire;37798;system Triple-buffered;Cotton;2019-10-15;25368;1135;40520;../fake-data/blob/hipster.png;image/png
3;Arizona hack;76719;quantifying;synthesize Idaho Markets;2019-10-15;47771;28571;8289;../fake-data/blob/hipster.png;image/png
4;Cyprus web services auxiliary;97790;Arizona success Sleek Frozen Chips;Gorgeous Rubber Chicken Associate Central African Republic;2019-10-15;21680;69574;29449;../fake-data/blob/hipster.png;image/png
5;Orchestrator Naira;38420;protocol Product Usability;Regional;2019-10-15;10675;62013;33566;../fake-data/blob/hipster.png;image/png
6;Mouse;64684;facilitate Persevering;Fantastic;2019-10-15;25994;98621;45324;../fake-data/blob/hipster.png;image/png
7;Beauty dynamic schemas;60278;clear-thinking Frozen Licensed;Group hard drive Personal Loan Account;2019-10-15;8274;93272;87666;../fake-data/blob/hipster.png;image/png
8;Aruba Chair portals;77760;Ways Liaison engage;disintermediate Assistant generating;2019-10-15;6351;46869;3682;../fake-data/blob/hipster.png;image/png
9;Plastic Movies;7535;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;2019-10-15;37785;24734;24108;../fake-data/blob/hipster.png;image/png
10;purple User-friendly;27473;white SMTP;Checking Account global Steel;2019-10-15;49816;52030;47621;../fake-data/blob/hipster.png;image/png
