id;description;asset_condition;assessment_date;assessment_remarks;name_of_assessing_staff;name_of_assessment_contractor;current_service_outlet_code;current_physical_address;next_assessment_date;name_of_user;fixed_asset_picture;fixed_asset_picture_content_type;fixed_asset_item_id;estimated_value;estimated_useful_months
1;strategy instruction set Persistent;VIABLE;2019-10-15;Kids leading-edge synergize;JSON National;interactive capacitor;Idaho Grocery;Concrete Towels Avon;2019-10-15;Product;../fake-data/blob/hipster.png;image/png;36239;78049;58058
2;deposit;BAD;2019-10-15;Strategist;Towels applications;Zimbabwe;Bedfordshire;application scale;2019-10-15;solid state;../fake-data/blob/hipster.png;image/png;34938;20513;46823
3;Checking Account;EXCELLENT;2019-10-16;synthesize;Macedonia Japan;target Rhode Island;Intelligent;SDD Mobility;2019-10-15;tertiary;../fake-data/blob/hipster.png;image/png;64399;52657;40873
4;Industrial Pizza bus;EXCELLENT;2019-10-16;olive;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;2019-10-16;empower;../fake-data/blob/hipster.png;image/png;32399;89633;8692
5;deposit;GOOD;2019-10-15;infomediaries Chief;Money Market Account end-to-end navigating;Alaska solution-oriented;best-of-breed generate;applications context-sensitive;2019-10-15;transmit Wooden COM;../fake-data/blob/hipster.png;image/png;48743;98536;89455
6;digital supply-chains;EXCELLENT;2019-10-15;Philippine Peso incentivize;Metal;methodologies Granite Corporate;needs-based Sports Global;generating;2019-10-15;Awesome Cotton Tuna;../fake-data/blob/hipster.png;image/png;49746;82974;72020
7;Small;OBSOLETE;2019-10-15;USB;Phased payment;Towels Internal;seize generate;Fantastic Wooden Chips microchip;2019-10-16;Auto Loan Account;../fake-data/blob/hipster.png;image/png;24534;6824;38929
8;grid-enabled ubiquitous monitor;WRITE_OFF;2019-10-15;reintermediate Factors;sensor;4th generation;clear-thinking Auto Loan Account;indexing;2019-10-15;Pants Auto Loan Account;../fake-data/blob/hipster.png;image/png;47423;10659;34438
9;bricks-and-clicks;BAD;2019-10-15;Centralized bypassing;Clothing Engineer Toys;granular;solid state;Soft Quality Mount;2019-10-16;Uzbekistan;../fake-data/blob/hipster.png;image/png;87294;75839;73222
10;1080p payment;EXCELLENT;2019-10-15;Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages;Towels Mississippi Product;Metal;2019-10-15;azure;../fake-data/blob/hipster.png;image/png;11528;97105;42176
