id;transfer_month;asset_serial_tag;service_outlet_code;transfer_transaction_id;asset_category_id;cwip_transaction_id;transfer_details;transfer_amount;dealer_id;transaction_invoice_id
1;2019-10-15;interface;Auto Loan Account Personal Loan Account;79295;42172;65500;Planner;28385;91236;35915
2;2019-10-16;Investment Account invoice;Customer-focused synthesize iterate;60185;17968;63254;redefine;51261;18097;41303
3;2019-10-15;Berkshire;Refined;40502;44530;59291;Louisiana payment;9526;16352;65212
4;2019-10-15;Coordinator;SMTP;903;32519;58841;Savings Account redefine Multi-channelled;23467;23605;88370
5;2019-10-16;Gloves Jordan;Uganda Shilling Cotton;44943;24871;58788;Assurance De-engineered;35925;16761;37935
6;2019-10-16;array payment;optical transmitter;44636;58535;86421;Hawaii Botswana Computers;98669;5708;12297
7;2019-10-15;Program;deposit;22470;45219;18001;Incredible Sleek Arizona;68820;14834;39737
8;2019-10-15;Developer Books;model Facilitator Minnesota;25422;51559;52173;open-source Burundi;12574;2997;13271
9;2019-10-15;capacitor;feed;16238;96991;18834;feed;15616;44375;23456
10;2019-10-15;Ball Qatari Rial parsing;whiteboard Health Polarised;83087;86890;86460;back up Frozen;79551;68952;91867
