id;description;file_name;period_from;period_to;file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;Generic Granite Chicken Auto Loan Account;3rd generation copying;2019-10-15;2019-10-15;7705;../fake-data/blob/hipster.png;image/png;false;false;out-of-the-box mobile program
2;connecting Japan enable;policy;2019-10-15;2019-10-16;8860;../fake-data/blob/hipster.png;image/png;false;false;Auto Loan Account
3;parse capacitor model;systems;2019-10-15;2019-10-15;78565;../fake-data/blob/hipster.png;image/png;false;false;methodologies calculating scale
4;Intranet mint green;holistic strategic;2019-10-16;2019-10-15;2419;../fake-data/blob/hipster.png;image/png;true;true;neutral Cambridgeshire
5;solid state;systematic;2019-10-15;2019-10-16;87273;../fake-data/blob/hipster.png;image/png;false;true;turquoise redundant
6;Applications panel;Small circuit;2019-10-15;2019-10-15;43685;../fake-data/blob/hipster.png;image/png;true;true;bypass
7;Polarised;Cotton;2019-10-15;2019-10-15;65695;../fake-data/blob/hipster.png;image/png;false;true;Gorgeous Steel Car
8;Computers;Extended;2019-10-15;2019-10-15;24954;../fake-data/blob/hipster.png;image/png;true;false;index Summit
9;actuating Shoes TCP;Generic Fresh Towels;2019-10-16;2019-10-15;53242;../fake-data/blob/hipster.png;image/png;false;false;revolutionary Future Shoes
10;Venezuela Rubber;Markets Refined Cotton Cheese modular;2019-10-15;2019-10-15;98129;../fake-data/blob/hipster.png;image/png;true;false;payment
