id;description;requested_by;recommended_by;reviewed_by;first_approver;second_approver;third_approver;fourth_approver
1;Roads feed;1582;innovative bypassing Credit Card Account;Virginia reciprocal;asymmetric;Investor maroon;one-to-one;extensible Practical Granite Bacon
2;Turkish Lira;6993;payment;HDD;Pataca Function-based;collaboration Aruban Guilder;reintermediate efficient Producer;Hill Awesome Rubber Computer
3;Directives payment override;17047;partnerships content;back up B2C invoice;Via enhance Cotton;Chair Producer Accounts;Switchable Kyat;Money Market Account
4;1080p;86468;Auto Loan Account;back-end protocol;Plastic;encompassing;evolve plug-and-play;Lithuania
5;navigating;27970;Communications XML;Forward;Wyoming Texas;tan Markets;Solomon Islands;whiteboard EXE
6;transmitter Soft orange;81873;Graphic Interface;Keyboard;Future-proofed Metrics North Carolina;generating Granite FTP;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize
7;withdrawal;12176;Brooks;Concrete Associate;parse Cotton;task-force Cambridgeshire;attitude-oriented quantifying;red
8;Credit Card Account intuitive;38646;South Carolina;Ferry;Cambridgeshire;Generic Metal Gloves Administrator Devolved;Rustic;data-warehouse Intelligent Saudi Riyal
9;Home Loan Account;63318;Sharable Polarised orange;Credit Card Account;navigating panel;AI Ports pink;Iraq Buckinghamshire;interface
10;Supervisor Inverse Granite;41858;open-source;synthesize Concrete;Savings Account access;Pre-emptive Officer primary;Sleek Cotton Computer intermediate withdrawal;compressing Rustic
