id;description;acquisition_month;asset_serial;service_outlet_code;acquisition_transaction_id;asset_category_id;purchase_amount;asset_dealer_id;asset_invoice_id
1;Fish next-generation Quality-focused;2019-10-15;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors;82581;514;12886;81994;33511
2;reboot;2019-10-16;connecting;generate Adaptive black;8409;61692;32643;98118;55984
3;Concrete expedite;2019-10-16;synthesizing Wooden;back up;54126;43224;96299;84012;34187
4;deposit Mobility;2019-10-16;Directives Baht Tasty Plastic Keyboard;bypass hard drive Hollow;5792;62091;7469;4574;85241
5;Strategist Yemeni Rial Shoals;2019-10-15;Auto Loan Account;Movies Sports;32361;37183;48864;81878;77040
6;UAE Dirham;2019-10-15;holistic;Group Practical GB;52702;79480;82592;69368;29837
7;bypassing;2019-10-15;Profound Plastic XSS;Chair mindshare Interactions;41972;85736;63852;96452;39759
8;grid-enabled Specialist e-services;2019-10-15;Reduced teal Outdoors;array Utah;47153;47320;54323;96819;15924
9;fuchsia;2019-10-16;Cheese Summit Saint Martin;Auto Loan Account;13124;29416;3252;91183;92084
10;Savings Account online Avon;2019-10-16;Rubber Ethiopian Birr;Hawaii Networked;16082;6420;65151;58197;32592
