id;service_outlet_code;service_outlet_designation;description;location
1;connecting solution connecting;California PNG engage;Burg;transmit Credit Card Account
2;digital Corporate Checking Account;seamless New York mesh;Unbranded array;Berkshire solid state
3;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept
4;Illinois robust;Granite Rubber;enable;deposit Chicken best-of-breed
5;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;Awesome
6;Kiribati;cyan innovative;open architecture alliance;online
7;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips
8;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed
9;connecting generate Music;Inlet Hungary Configurable;interface;Toys
10;overriding;internet solution;Total;Investment Account Indian Rupee
