id;description;disposal_month;asset_category_id;asset_item_id;disposal_proceeds;net_book_value;profit_on_disposal;scanned_document_id;asset_dealer_id;asset_picture;asset_picture_content_type
1;whiteboard Concrete;2019-10-15;94996;79798;78634;25898;8941;58855;41758;../fake-data/blob/hipster.png;image/png
2;SCSI Communications Underpass;2019-10-15;98918;16703;74335;99116;6498;23167;40158;../fake-data/blob/hipster.png;image/png
3;quantifying Phased connecting;2019-10-16;23066;4694;17652;38409;22048;3673;18643;../fake-data/blob/hipster.png;image/png
4;neural wireless Generic Frozen Bike;2019-10-15;51826;92775;59727;99490;52503;17389;26023;../fake-data/blob/hipster.png;image/png
5;Buckinghamshire Buckinghamshire;2019-10-15;15389;89743;81583;46338;22444;62293;22381;../fake-data/blob/hipster.png;image/png
6;Antigua and Barbuda Personal Loan Account Utah;2019-10-16;45743;87746;39116;26560;27295;12951;47667;../fake-data/blob/hipster.png;image/png
7;Tasty Fresh Pizza Jewelery monitoring;2019-10-15;55085;73521;8698;28139;40845;25264;37268;../fake-data/blob/hipster.png;image/png
8;neutral;2019-10-15;4878;49587;53260;8104;96212;22018;10946;../fake-data/blob/hipster.png;image/png
9;Senior Facilitator Sleek Fresh Shoes;2019-10-15;59240;90651;82468;57131;34780;66211;67801;../fake-data/blob/hipster.png;image/png
10;Utah optimal;2019-10-15;52126;79742;86816;65845;24528;85058;15734;../fake-data/blob/hipster.png;image/png
