id;transaction_reference;transaction_date;scanned_document_id;transaction_approval_id
1;mobile Fish;2019-10-15;59865;59685
2;Dam;2019-10-16;5808;45924
3;seamless Metal deposit;2019-10-16;96990;72199
4;Implementation Electronics Officer;2019-10-15;30424;61165
5;Grocery Home;2019-10-15;61185;39986
6;Gorgeous Frozen Pants;2019-10-16;45606;9060
7;Savings Account syndicate Planner;2019-10-15;4645;85994
8;Yuan Renminbi Centers;2019-10-16;94888;94220
9;South Dakota envisioneer Music;2019-10-16;68423;24102
10;Bahamian Dollar Investment Account;2019-10-15;3438;17336
