id;description;depreciation_amount;depreciation_date;category_id;asset_item_id
1;online program Refined Granite Gloves;52243;2019-10-15;64454;3700
2;Money Market Account Organic;12056;2019-10-15;7695;88499
3;Greenland models streamline;57242;2019-10-15;80397;53949
4;bluetooth policy;62589;2019-10-15;88597;42681
5;SSL web-readiness;46194;2019-10-15;99034;2126
6;CSS;52893;2019-10-15;93906;93258
7;Tasty Steel Pants Licensed Steel Shirt Sleek Granite Tuna;58075;2019-10-15;27168;98408
8;bypass e-services;42135;2019-10-15;73758;73227
9;Music;46731;2019-10-15;29700;28723
10;paradigm Persevering Gorgeous Steel Salad;98772;2019-10-16;42777;10946
