id;invoice_reference;invoice_date;invoice_amount;is_proforma;is_credit_note;attachments;attachments_content_type
1;deliverables reinvent 24 hour;2019-10-16;81546;false;true;../fake-data/blob/hipster.png;image/png
2;application quantify Unbranded Plastic Tuna;2019-10-16;91495;true;true;../fake-data/blob/hipster.png;image/png
3;Highway Ergonomic;2019-10-15;31098;true;false;../fake-data/blob/hipster.png;image/png
4;pixel withdrawal;2019-10-15;56124;false;false;../fake-data/blob/hipster.png;image/png
5;Developer;2019-10-15;76078;true;true;../fake-data/blob/hipster.png;image/png
6;compress;2019-10-15;4043;true;true;../fake-data/blob/hipster.png;image/png
7;Small partnerships;2019-10-16;3142;true;true;../fake-data/blob/hipster.png;image/png
8;knowledge base Buckinghamshire;2019-10-15;13933;false;true;../fake-data/blob/hipster.png;image/png
9;Saint Lucia white;2019-10-15;7697;true;false;../fake-data/blob/hipster.png;image/png
10;Salad Web virtual;2019-10-15;10549;true;false;../fake-data/blob/hipster.png;image/png
