id;category_name;category_description;category_asset_code;category_depreciation_code;depreciation_regime_id
1;withdrawal Club Nebraska;Nevada quantify architectures;empower;customized payment;57077
2;dot-com;methodology Integration Music;Pants;Avon;85081
3;Gorgeous;Car Internal Small;Grocery Rand Namibia Dollar;Fresh incubate Agent;86550
4;parsing;Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;20507
5;Director;channels Buckinghamshire Open-source;pixel;asymmetric Montana Sausages;48114
6;Montenegro;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;8786
7;Metal;hack;Mall Investment Account;scalable Configuration calculating;96502
8;Frozen matrix;mint green streamline Mobility;Arizona synthesizing Fresh;override back-end hacking;18640
9;Programmable payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;74760
10;Borders Grass-roots;disintermediate Mali Unbranded Concrete Soap;Cotton Tactics;array Belize Dollar;16673
